language_id,deck_id,word_english,word_target_language,pronunciation
3,1,Hello,Hallo,
3,1,Goodbye,Auf Wiedersehen,
3,1,How are you?,Wie geht es Ihnen?,
3,1,What is your name?,Wie heißen Sie?,
3,1,My name is…,Ich heiße...,
3,1,Please,Bitte,
3,1,Thank you,Danke schön,
3,1,Yes,Ja,
3,1,No,Nein,
3,1,Do you speak English?,Sprechen Sie Englisch?,
3,1,How much is this?,Wieviel kostet das?,
3,1,Congratulations,Herzlichen Glückwunsch,
3,1,Excuse me,Entschuldigung,
3,1,Sorry,Es tut mir Leid,
3,1,Cheers!,Prost!,
3,2,one,eins,
3,2,two,zwei,
3,2,three,drei,
3,2,four,vier,
3,2,five,fünf,
3,2,six,sechs,
3,2,seven,sieben,
3,2,eight,acht,
3,2,nine,neun,
3,2,ten,zehn,
3,2,eleven,elf,
3,2,twelve,zwölf,
3,2,thirteen,dreizehn,
3,2,fourteen,vierzehn,
3,2,fifteen,fünfzehn,
3,2,sixteen,sechszehn,
3,2,seventeen,siebzehn,
3,2,eighteen,achtzehn,
3,2,nineteen,neunzehn,
3,2,twenty,zwanzig,
3,3,red,rot,
3,3,orange,orange,
3,3,yellow,gelb,
3,3,green,grün,
3,3,blue,blau,
3,3,purple,lila,
3,3,black,schwarz,
3,3,white,weiß,
3,3,brown,braun,
3,3,grey,grau,
3,3,pink,rosa,
3,4,Monday,Montag,
3,4,Tuesday,Dienstag,
3,4,Wednesday,Mittwoch,
3,4,Thursday,Donnerstag,
3,4,Friday,Freitag,
3,4,Saturday,Samstag,
3,4,Sunday,Sonntag,
3,5,January,Januar,
3,5,February,Februar,
3,5,March,März,
3,5,April,April,
3,5,May,Mai,
3,5,June,Juni,
3,5,July,Juli,
3,5,August,August,
3,5,September,September,
3,5,October,Oktober,
3,5,November,November,
3,5,December,Dezember,
3,6,father,der Vater,
3,6,mother,die Mutter,
3,6,grandmother,die Großmutter,
3,6,grandfather,der Großvater,
3,6,sister,die Schwester,
3,6,brother,der Bruder,
3,6,son,der Sohn,
3,6,daughter,die Tochter,
3,6,family,die Familie,
3,6,parents,die Eltern,
3,6,husband,der Ehemann,
3,6,wife,die Ehefrau,
3,7,spring,der Frühling,
3,7,summer,der Sommer,
3,7,fall,der Herbst,
3,7,winter,der Winter,
3,7,rain,der Regen,
3,7,snow,der Schnee,
3,7,wind,der Wind,
3,7,fog,der Nebel,
3,7,storm,das Unwetter,
3,7,warm,warm,
3,7,cold,kalt,
3,7,cool,kühl,
3,7,humid,feucht,
3,7,sunny,sonnig,
3,7,cloudy,bewölkt,
3,8,hat,der Hut,
3,8,shirt,das Hemd,
3,8,blouse,die Bluse,
3,8,t-shirt,das T-Shirt,
3,8,suit,der Anzug,
3,8,tie,die Krawatte,
3,8,dress,das Kleid,
3,8,skirt,der Rock,
3,8,pants,die Hose,
3,8,socks,die Socken,
3,8,shoes,die Schuhe,
3,8,belt,der Gürtel,
3,8,jacket,die Jacke,
3,8,coat,der Mantel,
3,8,scarf,der Schal,
3,9,airplane,das Flugzeug,
3,9,bicycle,das Fahrrad,
3,9,boat,das Boot,
3,9,bus,der Bus,
3,9,car,das Auto,
3,9,motorcycle,das Motorrad,
3,9,ship,der Schiff,
3,9,subway,die U-Bahn,
3,9,taxi,das Taxi,
3,9,train,der Zug,
3,10,airport,der Flughafen,
3,10,train station,der Bahnhof,
3,10,apartment,die Wohnung,
3,10,house,das Haus,
3,10,hospital,das Krankenhaus,
3,10,gas station,die Tankstelle,
3,10,grocery store,das Lebenmittelgeschäft,
3,10,library,die Bibliotek,
3,10,movie theater,das Kino,
3,10,museum,das Museum,
3,10,restaurant,das Restaurant,
3,10,school,die Schule,
3,10,coffee shop,das Café,
3,10,bank,die Bank,
3,10,bus stop,die Bushaltestelle,
