language_id,deck_id,word_english,word_target_language,pronunciation
1,11,German Shepherd,Alsatian,
1,12,eggplant,aubergine,
1,13,trash can,bin,
1,11,Ball-point ben,biro,
1,12,cookie,biscuit,
1,13,trunk,boot,
1,11,parking lot,car park,
1,12,zucchini,courgette,
1,13,thumb tack,drawing pin,
1,11,pacifier,dummy,
1,12,Santa Claus,Father Christmas,
1,13,wash cloth,flannel,
1,11,bangs,fringe,
1,12,vacuum cleaner,hoover,
1,13,turn signal,indicator,
1,11,quotation marks,inverted commas,
1,12,sweater,jumper,
1,13,yard sale,jumble sale,
1,11,baked potato,jacket potato,
1,12,truck,lorry,
1,13,raincoat,mackintosh,
1,11,cellphone,mobile,
1,12,garbage man,dustman,
1,13,overpass,flyover,
1,11,jello,jelly,
1,12,diaper,nappy,
1,13,sidewalk,pavement,
1,11,line,queue,
1,12,flashlight,torch,
1,13,tire,tyre,
